3000000,5,ns
3141000,39,ns
3282000,126,ns
3423000,250,ns
3564000,411,ns
3705000,614,ns
3846000,832,ns
3987000,973,ns
4128000,1339,ns
4269000,2038,ns
4410000,3301,ns
4551000,5024,ns
4692000,6579,ns
4833000,7722,ns
4974000,8844,ns
5115000,9087,ns
5256000,9187,ns
5397000,8482,ns
5538000,7016,ns
5679000,5417,ns
5820000,3688,ns
5961000,2509,ns
6102000,1639,ns
6243000,1107,ns
6384000,699,ns
6525000,445,ns
6666000,380,ns
6807000,334,ns
6948000,314,ns
7089000,279,ns
7230000,253,ns
7371000,241,ns
7512000,203,ns
7653000,184,ns
7794000,207,ns
7935000,224,ns
8076000,234,ns
8217000,325,ns
8358000,331,ns
8499000,407,ns
8640000,401,ns
8781000,465,ns
8922000,477,ns
9063000,491,ns
9204000,476,ns
9345000,505,ns
9486000,471,ns
9627000,491,ns
9768000,508,ns
9909000,517,ns
10050000,539,ns
10191000,586,ns
10332000,541,ns
10473000,529,ns
10614000,475,ns
10755000,398,ns
10896000,330,ns
11037000,248,ns
11178000,118,ns
11319000,62,ns
11460000,32,ns
11601000,3,ns
11742000,10,ns
11883000,2,ns
12024000,3,ns
12165000,1,ns
12306000,1,ns
12447000,1,ns
12588000,4,ns
12729000,0,ns
12870000,1,ns
13011000,2,ns
13152000,3,ns
13293000,2,ns
13434000,1,ns
13575000,0,ns
13716000,0,ns
13857000,1,ns
13998000,2,ns
14139000,0,ns
14280000,2,ns
14421000,1,ns
14562000,1,ns
14703000,1,ns
14844000,2,ns
14985000,2,ns
15126000,0,ns
15267000,0,ns
15408000,0,ns
15549000,0,ns
15690000,0,ns
15831000,0,ns
15972000,1,ns
16113000,1,ns
16254000,1,ns
16395000,0,ns
16536000,0,ns
16677000,1,ns
16818000,0,ns
16959000,1,ns
17100000,0,ns
